,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,homeAway,id,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,points,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,week,yardsPerPass,yardsPerRushAttempt,year
0,2-5,0,15,3-3,2,3,away,401112223,,,1,,,,3,43,1,,0,21,31:35,0,12,1,1,61,3,200,4,47,5,5-16,3,8-78,243,3,2.0,8.6,3.3,2019.0
0,2-2,0,22,0-0,2,4,away,401114261,0,0,0,0,0,2,7,18,2,1,0,31,30:33,0,6,1,1,55,4,340,5,80,18,5-9,6,5-30,358,2,3.0,9.0,6.2,2019.0
0,1-7,0,30,3-3,2,2,home,401114327,0,71,0,0,47,4,10,80,1,3,1,52,34:40,0,10,2,2,69,6,403,0,58,2,4-11,6,7-50,483,2,4.0,11.4,5.8,2019.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,5.0,,,2019.0
0,9-24,1,21,2-4,0,4,home,401114328,,,1,0,59,5,3,170,1,,1,33,28:53,,,,0,44,3,193,2,42,10,6-15,0,4-34,363,1,6.0,7.1,4.4,2019.0
0,5-12,0,10,2-2,0,0,away,401114285,,,0,,,,0,71,4,,1,8,21:53,0,5,2,8,36,0,137,2,118,10,3-11,,2-30,208,0,7.0,5.9,3.8,2019.0
0,6-11,0,20,6-8,1,2,away,401114329,,,1,,,,3,65,4,,0,21,38:08,,,,0,61,3,278,0,66,2,6-15,4,3-25,343,2,8.0,5.9,4.6,2019.0
0,7-13,0,28,2-4,1,0,home,401114330,,,0,0,64,6,5,103,5,,1,29,39:02,,,,0,70,3,326,0,29,0,11-17,8,9-74,429,1,9.0,7.9,4.7,2019.0
0,9-14,0,14,1-3,0,0,away,401114331,0,56,0,,,,1,214,1,1,1,13,27:43,0,-9,2,0,38,1,129,0,27,5,5-13,,7-47,343,0,10.0,15.3,3.4,2019.0
0,3-6,0,34,2-2,1,0,home,401114332,0,28,0,,,,9,48,0,2,0,63,41:13,0,-8,2,2,78,9,498,3,25,8,7-11,,2-20,546,1,11.0,8.0,6.4,2019.0
0,4-7,0,29,1-1,0,1,home,401114333,,,1,0,17,1,5,49,1,,0,47,33:00,,,,2,65,7,594,3,32,5,7-9,,3-35,643,1,12.0,7.0,9.1,2019.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,13.0,,,2019.0
0,5-11,0,23,1-4,0,0,away,401114334,,,2,0,42,2,7,127,3,,0,31,35:20,0,12,1,0,63,4,411,1,38,3,4-12,,3-29,538,2,14.0,11.5,6.5,2019.0
0,3-6,0,9,2-3,1,0,away,401114335,,,1,0,42,4,1,25,0,,0,7,27:41,0,9,2,0,47,1,123,1,25,2,4-14,,3-18,148,2,15.0,4.2,2.6,2019.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,16.0,,,2019.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,17.0,,,2019.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,18.0,,,2019.0
0,2-4,1,24,1-1,0,2,home,401235700,1,43,0,0,15,1,6,28,2,2,0,42,35:29,,,,3,62,5,340,1,31,6,13-15,,7-74,368,0,1.0,7.0,5.5,2020.0
0,1-5,0,24,3-4,1,1,home,401240113,0,0,0,0,8,1,7,29,4,1,0,37,36:47,,,,0,65,5,436,2,20,5,7-13,,4-37,465,1,2.0,5.8,6.7,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,3.0,,,2020.0
0,9-21,1,18,0-2,1,1,away,401240996,0,0,1,,,,4,94,7,1,0,10,30:32,0,44,4,0,43,0,182,1,35,5,3-13,,11-114,276,2,4.0,4.5,4.2,2020.0
0,4-7,0,24,2-3,0,0,home,401240040,,,0,0,24,1,11,52,5,,1,55,31:45,0,0,1,3,60,6,441,3,37,8,3-11,,4-27,493,0,5.0,7.4,7.4,2020.0
0,4-10,0,16,3-4,0,0,home,401240114,0,26,2,,,,2,75,0,2,1,14,29:09,0,11,3,1,50,1,153,3,32,8,3-13,,6-39,228,2,6.0,7.5,3.1,2020.0
0,1-3,0,24,1-1,1,0,away,401240115,,,0,0,19,2,4,53,4,,0,28,33:29,0,33,2,3,60,4,305,1,37,3,6-10,,5-51,358,1,7.0,17.7,5.1,2020.0
0,2-3,1,21,4-4,0,0,home,401240116,1,79,0,0,39,1,7,63,1,3,1,49,35:10,0,22,2,1,63,5,297,1,27,7,8-14,,4-29,360,0,8.0,21.0,4.7,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,9.0,,,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,10.0,,,2020.0
0,5-13,0,17,2-5,1,0,away,401207200,,,2,0,45,3,0,33,1,,1,12,32:27,0,8,2,0,57,1,270,1,41,9,6-17,,1-5,303,3,11.0,2.5,4.7,2020.0
0,1-1,0,20,4-4,3,0,home,401235975,0,3,0,0,84,3,4,25,0,1,0,28,38:24,0,28,1,0,73,4,243,2,16,6,9-18,,5-54,268,3,12.0,25.0,3.3,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,13.0,,,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,14.0,,,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,15.0,,,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,16.0,,,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,17.0,,,2020.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,18.0,,,2020.0
